"acquisition-date","administration_name","association-period","association-person","association-person-type","association-subject","association-subject-association","creator","creator-role","csvId","description","description-original","dimensions_concatenated","documentation-free-text","free-field-content","inscription-content","inscription-method","inscription-position","legal_status","material","material-part","object_category","object_name","object_number","postgresId","priref","production-date-end","production-date-start","production-period","production-place","related-object-association","related-object-reference","reproduction-reference","title","identifier/dataset","identifier/num_id","identifier/unique-doc-id","text/all-description-text"
"1965-01-01T00:00:00.000Z","Science and Technology : Technology","","","","Newton (farm), Tullynessle, Aberdeenshire, Scotland, Northern Europe","","","","9","Horse-drawn work sledge, used until recently in winter at, Newton, Tullynessle, Aberdeenshire","Wood, iron. A horse-drawn work sledge, creosoted black, made of cart body with four shelvings mounted on iron shod wooden runners. Used till recently on W.B. Coutts' farm, in winter.","Overall: Height 12mm. Overall: Length 2200mm. Overall: Width 1300mm","","","","","","Permanent collection","","","15. ROAD TRANSPORT | Transport - sleds","Sledge","W.VB 9","10","6402","","","","","","","","","congruence-science-and-industry","9","congruence-science-and-industry_9","Wood, iron. A horse-drawn work sledge, creosoted black, made of cart body with four shelvings mounted on iron shod wooden runners. Used till recently on W.B. Coutts' farm, in winter.. . . . "
"1965-01-01T00:00:00.000Z","Science and Technology : Technology","","","","Newton (farm), Tullynessle, Aberdeenshire, Scotland, Northern Europe","","","","10","Passenger sledge, used until recently at Newton, Tullynessle, Aberdeenshire","Wood, iron. A passenger sledge, creosoted black, with a high fronted wooden body, on iron shod wooden runners, a seat with a back lies across the middle of the sledge [and] there are two red painted shafts. Used till recently on W.B. Coutts' farm, in winter.","","","","","","","Permanent collection","Wood | Wood | Iron","Whole | Runners | Runners","15. ROAD TRANSPORT | Transport - sleds","Sledge","W.VB 10","11","6403","","","","","","","","","congruence-science-and-industry","10","congruence-science-and-industry_10","Wood, iron. A passenger sledge, creosoted black, with a high fronted wooden body, on iron shod wooden runners, a seat with a back lies across the middle of the sledge [and] there are two red painted shafts. Used till recently on W.B. Coutts' farm, in winter.. . . . "
"1965-01-01T00:00:00.000Z","Science and Technology : Technology","","","","Berwickshire, Scotland, Northern Europe","","A.C. Larivier","","11","Passenger sledge, latterly used in Berwickshire","Wood, iron. A passenger sledge, painted light cream, with the back seat green; on iron shod wooden runners; the back of the rear seat hinges forward, that of the centre seat is fixed; the sledge front is S-curved. [With] a metal plate on the front. Latterly used in Berwickshire.","","","","On plate: A.C. Larivier, Makers, Montreal","","","Permanent collection","","","15. ROAD TRANSPORT | Transport - sleds","Sledge","W.VB 11","12","6404","","","","Montreal, Quebec, Canada, North America","","","","","congruence-science-and-industry","11","congruence-science-and-industry_11","Wood, iron. A passenger sledge, painted light cream, with the back seat green; on iron shod wooden runners; the back of the rear seat hinges forward, that of the centre seat is fixed; the sledge front is S-curved. [With] a metal plate on the front. Latterly used in Berwickshire.. . . On plate: A.C. Larivier, Makers, Montreal. "
"1965-01-01T00:00:00.000Z","Science and Technology : Technology","","","","Jura, Argyll, Scotland, Northern Europe","","","","12","Scale model of a Jura deer cart, made by the estate joiner c. 1914","A scale model of a Jura deer 'cart', a two-shafted travois with a slotted and framed centre; the sides are marked in ink on the various elements. Probably served as a pattern for full scale ones. Made by the estate joiner, c. 1914.","","","","Not to be made of heavy wood","","","Permanent collection","","","15. ROAD TRANSPORT | Transport - sleds","Cart / model","W.VB 12","13","6405","1916","1912","c. 1914","","","","","","congruence-science-and-industry","12","congruence-science-and-industry_12","A scale model of a Jura deer 'cart', a two-shafted travois with a slotted and framed centre; the sides are marked in ink on the various elements. Probably served as a pattern for full scale ones. Made by the estate joiner, c. 1914.. . . Not to be made of heavy wood. "
"1968-01-01T00:00:00.000Z","Science and Technology : Technology","","","","Jura, Argyll, Scotland, Northern Europe","","","","13","Horse-drawn deer-sledge from Jura","A horse-drawn deer-sledge from Jura, painted green, with an upright back. the ""body"" is formed of 4 cross-planks. A stout rope is attached to the body for tying on loads. Total l. 11'6"".","","","","","","","Permanent collection","","","15. ROAD TRANSPORT | Transport - sleds","Sledge, deer","W.VB 13","14","6406","","","","","","","","","congruence-science-and-industry","13","congruence-science-and-industry_13","A horse-drawn deer-sledge from Jura, painted green, with an upright back. the ""body"" is formed of 4 cross-planks. A stout rope is attached to the body for tying on loads. Total l. 11'6"".. . . . "
"1968-01-01T00:00:00.000Z","Science and Technology : Technology","","","","","","","","14","Red painted peat barrow","A red-painted peat barrow; no legs, but two pads; the wheel is unshod, in 3 pieces, with two oval openings. Stamped on the side.","","","","On side: DGD","","","Permanent collection","","","15. ROAD TRANSPORT, Agricultural | 14. INDUSTRIES, Agriculture | Transport - sleds","Barrow, peat","W.VBC 1","15","6407","","","","","","","","","congruence-science-and-industry","14","congruence-science-and-industry_14","A red-painted peat barrow; no legs, but two pads; the wheel is unshod, in 3 pieces, with two oval openings. Stamped on the side.. . . On side: DGD. "
"1897-01-01T00:00:00.000Z","Science and Technology : Technology","","","","Echo Bank, Edinburgh, Midlothian, Scotland, Northern Europe","","","","15","Old wooden axle found at an old house in Echo Bank","Wood. Old wooden axle found at an old house in Echo Bank.","","","","","","","Permanent collection","Wood","Whole","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Axle","W.VC 1","16","6408","","","","","","","","","congruence-science-and-industry","15","congruence-science-and-industry_15","Wood. Old wooden axle found at an old house in Echo Bank.. . . . "
"1960-01-01T00:00:00.000Z","Science and Technology : Technology","","Swaine and Adeney","person","Castles Farm, Glenorchy, Argyll, Scotland, Northern Europe","","Swaine and Adeney","","16","Gig or carriage whip made by Swaine and Adeney of Piccadilly, used at Castles Farm, Glenorchy, c. 1886","Wood, leather, metal, whipcord. A gig or carriage whip with a shank of light varnished wood (?willow), stamped; a handgrip of leather with nickle-plated metal terminals, and a lash of whipcord. Used at Castles Farm, Glenorchy, Argyll, c.1886.","","","","SWAINE & ADENEY  MAKERS  TO THE QUEEN  & PRINCE OF WALES  185 PICADILLY  LONDON","","","Permanent collection","Willow | Leather | Metal | Whipcord (whip)","Shank | Handgrip | Terminal | Lash","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Whip, gig / wip, carriage","W.VC 10","17","6409","1891","1881","c. 1886","London, England, Northern Europe","","","","","congruence-science-and-industry","16","congruence-science-and-industry_16","Wood, leather, metal, whipcord. A gig or carriage whip with a shank of light varnished wood (?willow), stamped; a handgrip of leather with nickle-plated metal terminals, and a lash of whipcord. Used at Castles Farm, Glenorchy, Argyll, c.1886.. . . SWAINE & ADENEY  MAKERS  TO THE QUEEN  & PRINCE OF WALES  185 PICADILLY  LONDON. "
"1961-01-01T00:00:00.000Z","Science and Technology : Technology","","","","","","","","20","Oak cart-axle","Oak. A cart-axle of oak. Purchased as part of a collection costing 12[.0.0].","","","","","","","Permanent collection","Oak","Whole","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Axle, cart","W.VC 14","21","6413","","","","","","","","","congruence-science-and-industry","21","congruence-science-and-industry_21","Oak. A cart-axle of oak. Purchased as part of a collection costing 12[.0.0].. . . . "
"1960-01-01T00:00:00.000Z","Science and Technology : Technology","","","","Delgaty Castle, Turriff, Aberdeenshire, Scotland, Northern Europe","","","","17","Iron jack for raising gigs, from the old stables at Delgaty Castle","Iron. An iron jack for raising gigs, from the old stables at Delgaty Castle, turriff, Aberdeenshire.","","","","","","","Permanent collection","Iron","Whole","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Jack","W.VC 11","18","6410","","","","","","","","","congruence-science-and-industry","17","congruence-science-and-industry_17","Iron. An iron jack for raising gigs, from the old stables at Delgaty Castle, turriff, Aberdeenshire.. . . . "
